SurgeryType,Vocabulary,Code
DistalRadFrac,CPT,25600
DistalRadFrac,CPT,25609
DistalRadFrac,CPT,25605
DistalRadFrac,CPT,25607
DistalRadFrac,CPT,25606
DistalRadFrac,CPT,25530
DistalRadFrac,CPT,25500
DistalRadFrac,CPT,25608
DistalRadFrac,CPT,25560
DistalRadFrac,CPT,1014742
DistalRadFrac,CPT,1004568
DistalRadFrac,ICD9CM,79.02
DistalRadFrac,ICD9CM,79.32
DistalRadFrac,ICD9CM,79.22
DistalRadFrac,ICD10PCS,0PSJ3ZZ
DistalRadFrac,ICD10PCS,0PSK0ZZ
DistalRadFrac,ICD10PCS,0PSJ0ZZ
DistalRadFrac,ICD10PCS,0PSHXZZ
DistalRadFrac,ICD10PCS,0PSJ4ZZ
DistalRadFrac,ICD10PCS,0PSJXZZ
DistalRadFrac,ICD10PCS,0PSH4ZZ
DistalRadFrac,ICD10PCS,0PSL4ZZ
DistalRadFrac,ICD10PCS,0PSKXZZ
DistalRadFrac,ICD10PCS,0PSH04Z
DistalRadFrac,ICD10PCS,0PSJ04Z
DistalRadFrac,ICD10PCS,0PSH3ZZ
DistalRadFrac,ICD10PCS,0PSL0ZZ
DistalRadFrac,ICD10PCS,0PSH0ZZ
DistalRadFrac,ICD10PCS,0PSK4ZZ
DistalRadFrac,ICD10PCS,0PSLXZZ
DistalRadFrac,ICD10PCS,0PSK3ZZ
DistalRadFrac,ICD10PCS,0PSK04Z
DistalRadFrac,ICD10PCS,0PSL04Z
DistalRadFrac,ICD10PCS,0PSL3ZZ
prostatectomy,CPT,55840
prostatectomy,CPT,55821
prostatectomy,CPT,55842
prostatectomy,CPT,1014183
prostatectomy,CPT,55812
prostatectomy,CPT,55810
prostatectomy,CPT,55866
prostatectomy,CPT,1008661
prostatectomy,CPT,55831
prostatectomy,CPT,1014181
prostatectomy,CPT,55801
prostatectomy,CPT,55815
prostatectomy,CPT,55845
prostatectomy,ICD9CM,60.62
prostatectomy,ICD9CM,60.61
prostatectomy,ICD9CM,60.2
prostatectomy,ICD9CM,60.29
prostatectomy,ICD9CM,60.3
prostatectomy,ICD9CM,60.4
prostatectomy,ICD9CM,60.6
prostatectomy,ICD9CM,60.69
prostatectomy,ICD9CM,60.5
prostatectomy,ICD9CM,60.21
prostatectomy,ICD10PCS,0VT00
prostatectomy,ICD10PCS,0VT08
prostatectomy,ICD10PCS,0VT07
prostatectomy,ICD10PCS,0VT08Z
prostatectomy,ICD10PCS,0VT07ZZ
prostatectomy,ICD10PCS,0VT04
prostatectomy,ICD10PCS,0VT00ZZ
prostatectomy,ICD10PCS,0VT04ZZ
prostatectomy,ICD10PCS,0VT08ZZ
prostatectomy,ICD10PCS,0VT00Z
prostatectomy,ICD10PCS,0VT04Z
prostatectomy,ICD10PCS,0VT0
prostatectomy,ICD10PCS,0VT07Z
ColorecResect,CPT,44159
ColorecResect,CPT,45160
ColorecResect,CPT,45397
ColorecResect,CPT,44156
ColorecResect,CPT,44154
ColorecResect,CPT,44211
