"TYPE","VOCAB","CODE","STANDARD_CONCEPT_ID","STANDARD_VOCABULARY_ID","STANDARD_DOMAIN_ID"
"PartialExcBone","CPT","15921",NA,NA,NA
"PartialExcBone","CPT","19261",NA,NA,NA
"PartialExcBone","CPT","19262",NA,NA,NA
"PartialExcBone","CPT","19263",NA,NA,NA
"PartialExcBone","CPT","19264",NA,NA,NA
"PartialExcBone","CPT","19265",NA,NA,NA
"PartialExcBone","CPT","19266",NA,NA,NA
"PartialExcBone","CPT","19267",NA,NA,NA
"PartialExcBone","CPT","19268",NA,NA,NA
"PartialExcBone","CPT","19269",NA,NA,NA
"PartialExcBone","CPT","19270",NA,NA,NA
"PartialExcBone","CPT","21027",NA,NA,NA
"PartialExcBone","CPT","21028",NA,NA,NA
"PartialExcBone","CPT","21033",NA,NA,NA
"PartialExcBone","CPT","21035",NA,NA,NA
"PartialExcBone","CPT","21036",NA,NA,NA
"PartialExcBone","CPT","21037",NA,NA,NA
"PartialExcBone","CPT","21038",NA,NA,NA
"PartialExcBone","CPT","21039",NA,NA,NA
"PartialExcBone","CPT","21042",NA,NA,NA
"PartialExcBone","CPT","21043",NA,NA,NA
"PartialExcBone","CPT","21604",NA,NA,NA
"PartialExcBone","CPT","21605",NA,NA,NA
"PartialExcBone","CPT","21606",NA,NA,NA
"PartialExcBone","CPT","21607",NA,NA,NA
"PartialExcBone","CPT","21608",NA,NA,NA
"PartialExcBone","CPT","21609",NA,NA,NA
"PartialExcBone","CPT","21611",NA,NA,NA
"PartialExcBone","CPT","21612",NA,NA,NA
"PartialExcBone","CPT","21613",NA,NA,NA
"PartialExcBone","CPT","21614",NA,NA,NA
"PartialExcBone","CPT","21617",NA,NA,NA
"PartialExcBone","CPT","21618",NA,NA,NA
"PartialExcBone","CPT","21619",NA,NA,NA
"PartialExcBone","CPT","21621",NA,NA,NA
"PartialExcBone","CPT","21622",NA,NA,NA
"PartialExcBone","CPT","21623",NA,NA,NA
"PartialExcBone","CPT","21624",NA,NA,NA
"PartialExcBone","CPT","21625",NA,NA,NA
"PartialExcBone","CPT","21626",NA,NA,NA
"PartialExcBone","CPT","21628",NA,NA,NA
"PartialExcBone","CPT","21629",NA,NA,NA
"PartialExcBone","CPT","21631",NA,NA,NA
"PartialExcBone","CPT","21633",NA,NA,NA
"PartialExcBone","CPT","22104",NA,NA,NA
"PartialExcBone","CPT","22105",NA,NA,NA
"PartialExcBone","CPT","22106",NA,NA,NA
"PartialExcBone","CPT","22107",NA,NA,NA
"PartialExcBone","CPT","22108",NA,NA,NA
"PartialExcBone","CPT","22109",NA,NA,NA
"PartialExcBone","CPT","22111",NA,NA,NA
"PartialExcBone","CPT","22113",NA,NA,NA
"PartialExcBone","CPT","22115",NA,NA,NA
"PartialExcBone","CPT","22145",NA,NA,NA
"PartialExcBone","CPT","22146",NA,NA,NA
"PartialExcBone","CPT","22147",NA,NA,NA
"PartialExcBone","CPT","22148",NA,NA,NA
"PartialExcBone","CPT","22209",NA,NA,NA
"PartialExcBone","CPT","22211",NA,NA,NA
"PartialExcBone","CPT","22213",NA,NA,NA
"PartialExcBone","CPT","22215",NA,NA,NA
"PartialExcBone","CPT","22217",NA,NA,NA
"PartialExcBone","CPT","22218",NA,NA,NA
"PartialExcBone","CPT","22219",NA,NA,NA
"PartialExcBone","CPT","22221",NA,NA,NA
"PartialExcBone","CPT","22223",NA,NA,NA
"PartialExcBone","CPT","22225",NA,NA,NA
"PartialExcBone","CPT","22227",NA,NA,NA
"PartialExcBone","CPT","22228",NA,NA,NA
"PartialExcBone","CPT","22229",NA,NA,NA
"PartialExcBone","CPT","22230",NA,NA,NA
"SpinalFusion","CPT","22535",NA,NA,NA
"SpinalFusion","CPT","22536",NA,NA,NA
"SpinalFusion","CPT","22537",NA,NA,NA
"SpinalFusion","CPT","22538",NA,NA,NA
"SpinalFusion","CPT","22539",NA,NA,NA
"SpinalFusion","CPT","22540",NA,NA,NA
"SpinalFusion","CPT","22541",NA,NA,NA
"SpinalFusion","CPT","22542",NA,NA,NA
"SpinalFusion","CPT","22543",NA,NA,NA
"SpinalFusion","CPT","22544",NA,NA,NA
"SpinalFusion","CPT","22545",NA,NA,NA
"SpinalFusion","CPT","22546",NA,NA,NA
"SpinalFusion","CPT","22547",NA,NA,NA
"SpinalFusion","CPT","22549",NA,NA,NA
"SpinalFusion","CPT","22550",NA,NA,NA
"SpinalFusion","CPT","22553",NA,NA,NA
"SpinalFusion","CPT","22555",NA,NA,NA
